,company,job_title,location,description
0,Amazon,Visual UI Designer,"New York, New York, United States","Job SummaryDESCRIPTIONThe AWS Analytics team designs and delivers the next generation suite of business analytics tools such as Amazon QuickSight, Amazon FinSpace, and AWS Glue Databrew. We empower technical and non-technical users in every industry with “low-code” and “no-code” analytics solutions. We constantly innovate ways to deliver faster, more intuitive, and more actionable insights at a massive scale. We are re-inventing business intelligence with the goal of allowing everyone to make data-driven decisions. Our customers include startups and Fortune 500 companies.To help us delight our customers, we are seeking a talented, creative, and customer-obsessed Visual Designer to be the key voice in defining the brand identity and visual language of our enterprise-class application through UI, art direction, graphic design, and motion design.Key job responsibilitiesYou will be part of a world-class team in a fast-paced environment that has the entrepreneurial feel of a start-up. Each day, hundreds of thousands of developers harness the power of Amazon Web Services (AWS) to enable innovative applications, websites, and businesses. You will have a significant impact on our business as you take a leadership role in setting the creative strategy for this new collection of products and services.You will also drive our creative strategy by working with key stakeholders to prioritize and maximize resources, scoping projects, and communicating trade-offs when appropriate. You will be part of a multidisciplinary team of designers, researchers, and design technologists who seek to harness the power of the AWS cloud into an everyday tool for data management, analysis and collaboration through a human-centered design process.A day in the lifeThe ideal candidate will thrive in collaboration with UX designers, product managers, marketing managers, and other visual designers to create and maintain a cohesive visual identity for our new service across all customer touch-points. You are a problem solver with strong bias for action, always ready to be hands-on to visualize solutions. You take a customer-centered approach to define how visual design works across contexts, devices and domains, while being able to dive deep into identity, layout, typography, UI, motion design, and other components of visual brand expression. You proactively work on behalf of the team to create clarity in the face of ambiguity.Basic Qualifications 6+ years of professional experience as a UI designer or interaction designer, visual designer, creative director, art director, or similar role An online portfolio or samples of work on resume, demonstrating experience creating great end-to-end, user-centered design solutions and patterns, across desktop and mobile devices. Experience working in a product lifecycle with front-end and back-end engineering teams. Estimate, organize, and track components within an atomic design system. Bachelor’s or equivalent degree in graphic design or related field or equivalent professional experience within a design fieldPreferred Qualifications Exceptional creative concepting, development, and design skills, Experience creating brand guidelines and UX design systems Deep understanding of typography, design principles, trends and best practices across enterprise software Excellent communication, collaboration, and presentation skills Relentless desire for innovation, balanced with business and user interaction priorities A self-starter with the ability to navigate ambiguous situations and thrive in a fast-paced, start-up environment An understanding of how to advocate for customers and integrate user research in the creative process Curiosity to dig several layers deep into success metrics, have an innate desire to understand key drivers Basic knowledge of UX and front-end web design processes and accessibility standardsAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.Company - Amazon Dev Center U.S., Inc.Job ID: A1905213 Show more Show less Seniority level Not Applicable Employment type Full-time Job function Art/Creative and Design Industries IT Services and IT Consulting, Software Development, and Internet Publishing"
1,Portfolio,User Interface Designer,"Columbus, Ohio Metropolitan Area","Direct message the job poster from Portfolio Creative Jamie Wells Business Development Manager at Portfolio Creative ABOUT OUR CLIENT:Award-winning creative studio based proudly in downtown Columbus, Ohio.Founders started the company in 2011 on the belief that a smaller, focused team can deliver a more powerful consumer-first, branded experience than most, larger shops.MUST-HAVE REQUIREMENTS:• 3-5 years of design experience, preferably in interactive/digital• Bachelor's Degree in Design (or a killer portfolio and some serious design-savvy)• Be the lead designer on projects and lead design teams when necessary• Produce concepts from sketch to beautiful and effective digital designs• It is your responsibility to work alongside and help lead 2nd concept designers• You are expected to see website re-designs all the way through A-Z, concept to QA• Create best practice information architecture; sitemaps, wireframes & user flows• Must have the ability to clearly articulate UX/UI reviews internally and to clients• Follow creative direction and client brand guidelines to establish brand language and extension• Collaborate with developers, copywriters, producers, other designers, and interns• Prepare files for print production, HTML, emails, social assets and style guidesBONUS SKILLS:• Motion graphics using After Effects, Cinema 4D, Lottie Files• Photography and Photo editing experience• Video editing experience using Premiere or Final Cut Pro• Illustration using your hands• Javascript or CSS animation experiencePERKS AND BENEFITS:• Health, Dental, Vision, and Life insurance (99% premium paid by the company, 1% paid by employee)• Long-Term Disability (100% premium paid by the company)• 401k with company matching and profit sharing• PTO with holidays + studio shut down at end of year• 4-week sabbatical after your 6th year• Hybrid schedule (WFH Monday / Friday, in studio Tuesday - Thursday)• Macbook Pros on tap• Training + conference opportunities• Casual dog-friendly studio environment• Downtown studio with parking paid for by the company• Summer hours on Fridays (as long as it's warm out and the brews are cold)• Full fridge of impromptu Happy Hour beverages• Catered lunches on Wednesday from Bentos Catering• Coffee roasted by One Line CoffeeVIEW MORE HERE:https://jobs.portfoliocreative.com/jobs/5896 Show more Show less Employment type Full-time"
2,Adecco,Remote User Interface Designer,"Maryland, United States","Direct message the job poster from Adecco Shlomo Vidal Staffing, Music & Technology, Good Conversations, Great Career Opportunities The Adecco Creative & Marketing team is currently looking for a UX/UI (heavy on the UI) designer for a Leading Educational Publishing Company! The position is fully remote as well as project based so it will easily fit into your schedule! If you're interested please apply to this post with a resume and a portfolio including webpage design. We are looking to move forward with candidates quickly so if you're looking for something immediate, this is a perfect role for you.RequirementsAdvanced skills with Adobe XDExperience in exporting XD to HTML (bonus if you are able to adapt/troubleshoot for responsiveness)ProjectsLanding Page XD Files.For this project, we would be looking for someone to create XD files based on our style guide and existing components. We are looking for someone who is skilled with XD and can create organized, clean, intuitive files that a designer could use to mix and match the components to create the layout they need as various Landing Page needs arise. Ideally, these files would cleanly export to HTML.Modifications to pages on our current website, already in productionThere are various child pages that need some attention. I would provide in-progress XD files along with feedback. Show more Show less Seniority level Mid-Senior level Employment type Contract Job function Design, Art/Creative, and Information Technology Industries Book and Periodical Publishing and Primary and Secondary Education"
3,U.S.,UX Visual Designer,"Atlanta, Georgia, United States","At U.S. Bank, we're passionate about helping customers and the communities where we live and work. The fifth-largest bank in the United States, we’re one of the country's most respected, innovative and successful financial institutions. U.S. Bank is an equal opportunity employer committed to creating a diverse workforce. We consider all qualified applicants without regard to race, religion, color, sex, national origin, age, sexual orientation, gender identity, disability or veteran status, among other factors.Job DescriptionResponsible for defining and executing visual communication strategies that tell the story of the work of the Service Design Strategy team. The Service Design Team helps teams understand the customer’s experiences and collaborates to design new experiences that meet customer’s needs. You will be an integral part of the team and will participate in the design process itself including: research, synthesis, opportunity definition, concept development and prototype development.Through your work you will be designing, shaping and improving the customer and employee experiences. You will consider the effects of typography, space, layouts, color illustrations and photography on the experience of and usability of products and services. You will also combine a thorough knowledge of current design trends, and a working knowledge of front-end development to interface across a variety of digital products.Responsibilities IncludeCreates Journey Maps, Concept Storyboards, Prototypes and other necessary visualsCreates other artifacts as needed to communicate the work of the Service Design TeamCreates accessible interaction modules, screen layouts, style guides, pattern libraries, images, icons and other visual elements for projectsApplies and updates existing brand (visual and interaction) standards to accommodate new products and campaignsPresents and communicates design and design goals to teammates and partnersValidates code is built as designed during projects (according to brand standards, style guides and pattern libraries)Reviews artifacts and deliverables from peer designers to ensure they accurately represent the U.S. Bank brandCollaboratively partners with internal peers (visual designers, content writers, accessibility consultants, researchers, prototypers, and strategists) to create world class customer experiencesFormally observes user interviews and usability sessions with the possibility of conducting interviews as wellBasic Qualifications Bachelor's degree, or equivalent experience Three to five years of related work experience, such as UX or digital industryPreferred Skills/ExperienceThorough knowledge of and experience with UX best practices, service design process and framework, and experience in workshop and co-creationsThorough knowledge of website architecture, interactive design principles, web usability, and online marketing and business needsExperience with user-centered design from concept to deliveryExperience/familiarity with CSS and responsive designSkilled with design /interaction / transition / motion design (portfolio required)Experience creating style guides for development teamsExperience working in a cross-channel environment, including desktop/laptop, mobile, devices and brick-and-mortar locationsExperience collaborating with large teamsStrong communication and presentation skillsThorough knowledge of UX best practicesAbility to problem-solve and work independentlyIf there’s anything we can do to accommodate a disability during any portion of the application or hiring process, please refer to our disability accommodations for applicants.BenefitsTake care of yourself and your family with U.S. Bank employee benefits. We know that healthy employees are happy employees, and we believe that work/life balance should be easy to achieve. That's why we share the cost of benefits and offer a variety of programs, resources and support you need to bring your full self to work and stay present and committed to the people who matter most - your family.Learn all about U.S. Bank employee benefits, including tuition reimbursement, retirement plans and more, by visiting usbank.com/careers.EEO is the LawApplicants can learn more about the company’s status as an equal opportunity employer by viewing the federal EEO is the Law poster.E-VerifyU.S. Bank participates in the U.S. Department of Homeland Security E-Verify program in all facilities located in the United States and certain U.S. territories. The E-Verify program is an Internet-based employment eligibility verification system operated by the U.S. Citizenship and Immigration Services. Learn more about the E-Verify program.Due to legal requirements, U.S. Bank requires that the successful candidate hired for some positions be fully-vaccinated for COVID-19, absent being granted an accommodation due to a medical condition, pregnancy, or sincerely held religious belief or other legally required exemption. For these positions, as part of the conditional offer of employment, the successful candidate will be asked to provide proof of vaccination or approval for an accommodation or exemption upon hire. Show more Show less Seniority level Associate Employment type Full-time Job function Design, Art/Creative, and Information Technology Industries Credit Intermediation"
4,Cygnus,UI Designer,"Miami, Florida, United States","• Ability to translate conceptual ideas into compelling customer experiences, flows, wireframes, mockups, and prototypes.• Creative design thinking, strong analytical and problem solving skills. • Experience with prototyping, graphic and design tools: Axure RP Pro, Microsoft Visio, inVision, XD, Framer, Sketch, Omnigraffle, Balsamiq, paper.• Experience with Adobe Creative Cloud (Illustrator, Photoshop, XD, InDesign, Sketchbook, Spark), Gimp, Inkscape. Mischief or similar suite.• Adobe Creative Cloud – Production (Audition, After Effects, Premiere, Media Encoder) or similar suite for video editing/authoring and creation.• Design principles and/or Human-Centered interaction experience.• Design experience in web/mobile/app/responsive.• Accessibility guidelines knowledge.Qualifications• BS in Industrial Engineering, Information Systems/Software Engineering/Telecommunications Engineering or Digital majors (Graphic Design, Web Design and similar).• 3+ years of experience in a field related to UI Design.• A strong technical, business and/or design background. Show more Show less Employment type Contract"
5,Amazon,"Visual UX Designer, Amazon Glow",United States,"Job SummaryDESCRIPTIONCome be a part of the mission to improve children’s lifelong outcomes by helping them connect with adult loved ones, no matter how near or far. We are a smart team of doers that work passionately to apply cutting-edge advances in technology and to solve real-world problems that will transform our customers’ experiences in ways we can’t even imagine yet.Description of Glow: “A new-to-world virtual, connected, and projected interaction model designed to help children and remote loved ones play, create, read, learn and have fun together as if they are right next to each other.”#GlowCareersWe are a smart team of doers that work passionately to apply cutting-edge advances in technology and to solve real-world problems that will transform our customers’ experiences in ways we can’t even imagine yet. As an Art Director, you will be working with a collaborative team developing exciting products for consumers.Key job responsibilitiesThis position requires the ability to dive deep, invent, and be relentlessly curious about customer needs and how we can bring potential solutions to life. You will validate concepts at a variety of fidelities, including working prototypes, throughout the design process. You are highly motivated to explore new opportunities along the way, consistently raising the bar for what’s possible. You will be hands-on, designing graphics and UI elements, executing creative direction, establishing procedure, and ensuring visual consistency across our product. Create and rapidly iterate on ideas using storyboards, prototypes, and higher-fidelity designs to effectively communicate visual strategies and experiences Articulately present design vision, direction and solutions to senior leadership and internal stakeholders Fluency in moving from understanding and interpreting strategy to developing initial concepts Participate in the discovery and planning of new products and features while helping drive the design vision across our product suite Work with other UX designers to ensure visual consistency and relentless attention to detail Identify opportunities to think differently about the visual status quo on customer experiences, based on customer research, best practices and design thinkingAbout The TeamWe are committed to furthering our culture of inclusion. Amazon’s culture of inclusion is reinforced within our 14 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.Our team puts a high value on work-live balance. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment. We offer flexibility in working hours and encourage you to find your own balance between your work and personal lives.Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded designers and enable them to take on more complex tasks in the future.Basic Qualifications 4+ years of relevant work experience Bachelors in graphic design, visual design, human-computer interaction (HCI), or related field A portfolio of work demonstrating user interface design and design systems across multiple product categories, platforms, and domains. Expert level with standard design tools such as Photoshop, Illustrator, Sketch, Figma, etc.Preferred Qualifications Demonstrated ability to learn, evaluate, and adopt new technologies quickly Ability to work with ambiguity and visualize solutions for emerging concepts Excellent communication, presentation, interpersonal and analytical skills; the ability to communicate complex concepts clearly and persuasively across different audiences and varying levels of the organization Exceptional attention to detail Experience designing interfaces for interactive mobile experiences Experience with illustration and motion design Experience working in a start-up style environment, where rapid iteration is encouraged Experience designing products for global markets Experience designing consumer products for children and familiesAmazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.Company - Amazon.com Services LLCJob ID: A1911804 Show more Show less Seniority level Not Applicable Employment type Full-time Job function Art/Creative and Design Industries IT Services and IT Consulting, Software Development, and Internet Publishing"
6,Starbucks,"UX Designer, Digital Products","Seattle, Washington, United States","Starbucks, as a company is all about creating a culture of warmth and belonging, acting with courage, and delivering our very best. We are performance driven, through the lens of humanity. When you work with us, you hold Starbucks legacy. Our mission: Inspiring and nurturing the human spirit - one person, one cup, one neighborhood at a time. We are looking for someone who is not only passionate about user experience but embodies the Starbucks mission and values.Team DescriptionCome be a part of an innovative Digital Product Design team that believes in digging deeper to figure out how technology should work for our retail partners (employees). We’re looking for a User Experience Designer to join our human centered design team. We are a close-knit, collaborative group, guided by an iterative process. Combining research, data, and thoughtful critique, we’re discovering the needs and solving fundamental problems that impact work and life for thousands of store partners.Role DescriptionYou are a driven UX Designer who appreciates simplicity and appealing user experiences.You are passionate about UI and Visual Design/Interaction Design.We have a few projects in the pipeline, and we are tackling our entire experience across web, client, and mobile. There are countless UX challenges and we feel like we are in a unique position to change the way our store partners (employees) interact with digital. You’ll be at the forefront of our efforts and be directly responsible for decisions that form the product. You’ll use your full range of skills in user experience to build great products.Responsibilities You're actively involved in defining product strategy. Thinking in terms of human centered design and making rational design decisions. Constantly pushing your limits and searching for opportunities to become better. Your team collaboration skills are unparalleled. You thrive in an environment with short feedback loops. You partner with other designers to elevate the group. You should be comfortable understanding how to do user research to validate your design ideas.Requirements 2+ years professional experience creating and walking stakeholders through user journeys, wires, prototypes, usability studies, and other design deliverables. An understanding of what makes an experience good or bad is critical. You can think through user problems, find reasonable solutions, mock them up in detail, and work with product managers and engineers to build them. You're a self-starter who actively seeks ways to make the Starbucks experience both visually appealing and easy to use. You look for opportunities to solve problems in unusual and innovative ways. You understand the technical limitations and liberties behind your decisions and have enough chops to communicate your ideas to our engineers and the rest of the team. Bachelor's Degree or equivalent practical work experience in User Experience.All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.We are committed to creating a diverse and welcoming workplace that includes partners with diverse backgrounds and experiences. We believe that enables us to better meet our mission and values while serving customers throughout our global communities. People of color, women, LGBTQIA+, veterans and persons with disabilities are encouraged to apply.Qualified applicants with criminal histories will be considered for employment in a manner consistent with all federal state and local ordinances. Starbucks Corporation is committed to offering reasonable accommodations to job applicants with disabilities. If you need assistance or an accommodation due to a disability, please contact us at 206-318-0660 or via email at applicantaccommodation@starbucks.com. Show more Show less Seniority level Not Applicable Employment type Full-time Job function Information Technology and Engineering Industries Food and Beverage Services, Manufacturing, and Retail"
7,U.S.,UX Visual Designer,"Illinois, United States","At U.S. Bank, we're passionate about helping customers and the communities where we live and work. The fifth-largest bank in the United States, we’re one of the country's most respected, innovative and successful financial institutions. U.S. Bank is an equal opportunity employer committed to creating a diverse workforce. We consider all qualified applicants without regard to race, religion, color, sex, national origin, age, sexual orientation, gender identity, disability or veteran status, among other factors.Job DescriptionAt Bento (which is now a part of the U.S. Bank family), we believe there’s a better way for businesses to manage and control expenses. We genuinely care about people in everything we do, and we are dedicated to building the best possible products and experiences at every touchpoint for our customers.We are looking for a talented and passionate Visual UX designer who can thrive in a fast-paced environment and has a vast understanding of the end-to-end design process. You will enhance our user experience with an intuitive and friendly design based on analysis and creative patterns constructed to solve our customer’s needs. With your hands-on attitude, you'll work with the team through all parts of the design process, from concept development, design flows, interaction, and visual design, to final specs. You will work closely with the product and engineering teams to identify new improvement opportunities, implement innovative concepts, and create delightful new experiences.ResponsibilitiesDeeply understand our customers and users and be their championDesign seamless and intuitive user experiences across web and mobile interfaces Craft compelling sketches, user flows, wireframes, prototypes, and mockupsCreate consistent and cohesive design patternsPartner closely with product and engineering and contribute to the product visionEffectively communicate conceptual ideas and design rationaleBasic Qualifications Bachelor's degree, or equivalent experience Three to five years of related work experience, such as UX or digital industryPreferred Skills/Experience/CompetenciesPrevious experience designing complex, multi-functional, large-scale applicationsStrong understanding of the modern web technology stackProficiency in industry UX/Visual design standards and prototyping tools such as Sketch, inVision, Photoshop, Figma, or equivalentStrong web & mobile design portfolio that showcases visual design and interaction design skillsDetail-oriented, user-centric mindset able to deconstruct complex issuesKnowledge of and ability to apply human behavior patterns for design recommendationsStoryteller with the ability to listen, present, and sell through empathetic visualsExperience transforming complex frames into simple flowsUnderstanding of information architecture, design patterns, and interaction designAbility to clearly and effectively communicate design processes, flows, ideas, rationale, and solutions to teams and stakeholdersExperience with receiving and implementing feedback and constructive criticism Familiar with tight deadlines, changing priorities, and multidisciplinary challengesAbility to stay up-to-date on best practices and industry trends in UX designExcellent interpersonal, written, and communication skillsUnderstands HTML, JavaScript, CSS, and other digital technologiesExperience creating style guides, pattern libraries, infographics, and iconographyFocused on research and data-driven recommendations Familiar with accessibility practicesProactive, goal-oriented individual who takes pride in what they doEntrepreneurial and intellectually curious people Interest in crafting intuitive banking experiences to solve real customer problemsProven experience designing for consumer-focused products in FinTech is a plusIf there’s anything we can do to accommodate a disability during any portion of the application or hiring process, please refer to our disability accommodations for applicants.BenefitsTake care of yourself and your family with U.S. Bank employee benefits. We know that healthy employees are happy employees, and we believe that work/life balance should be easy to achieve. That's why we share the cost of benefits and offer a variety of programs, resources and support you need to bring your full self to work and stay present and committed to the people who matter most - your family.Learn all about U.S. Bank employee benefits, including tuition reimbursement, retirement plans and more, by visiting usbank.com/careers.EEO is the LawApplicants can learn more about the company’s status as an equal opportunity employer by viewing the federal EEO is the Law poster.E-VerifyU.S. Bank participates in the U.S. Department of Homeland Security E-Verify program in all facilities located in the United States and certain U.S. territories. The E-Verify program is an Internet-based employment eligibility verification system operated by the U.S. Citizenship and Immigration Services. Learn more about the E-Verify program.Due to legal requirements, U.S. Bank requires that the successful candidate hired for some positions be fully-vaccinated for COVID-19, absent being granted an accommodation due to a medical condition, pregnancy, or sincerely held religious belief or other legally required exemption. For these positions, as part of the conditional offer of employment, the successful candidate will be asked to provide proof of vaccination or approval for an accommodation or exemption upon hire. Show more Show less Seniority level Associate Employment type Full-time Job function Design, Art/Creative, and Information Technology Industries Credit Intermediation"
8,U.S.,UX Visual Designer,"Charlotte, North Carolina, United States","At U.S. Bank, we're passionate about helping customers and the communities where we live and work. The fifth-largest bank in the United States, we’re one of the country's most respected, innovative and successful financial institutions. U.S. Bank is an equal opportunity employer committed to creating a diverse workforce. We consider all qualified applicants without regard to race, religion, color, sex, national origin, age, sexual orientation, gender identity, disability or veteran status, among other factors.Job DescriptionResponsible for defining and executing visual communication strategies that tell the story of the work of the Service Design Strategy team. The Service Design Team helps teams understand the customer’s experiences and collaborates to design new experiences that meet customer’s needs. You will be an integral part of the team and will participate in the design process itself including: research, synthesis, opportunity definition, concept development and prototype development.Through your work you will be designing, shaping and improving the customer and employee experiences. You will consider the effects of typography, space, layouts, color illustrations and photography on the experience of and usability of products and services. You will also combine a thorough knowledge of current design trends, and a working knowledge of front-end development to interface across a variety of digital products.Responsibilities IncludeCreates Journey Maps, Concept Storyboards, Prototypes and other necessary visualsCreates other artifacts as needed to communicate the work of the Service Design TeamCreates accessible interaction modules, screen layouts, style guides, pattern libraries, images, icons and other visual elements for projectsApplies and updates existing brand (visual and interaction) standards to accommodate new products and campaignsPresents and communicates design and design goals to teammates and partnersValidates code is built as designed during projects (according to brand standards, style guides and pattern libraries)Reviews artifacts and deliverables from peer designers to ensure they accurately represent the U.S. Bank brandCollaboratively partners with internal peers (visual designers, content writers, accessibility consultants, researchers, prototypers, and strategists) to create world class customer experiencesFormally observes user interviews and usability sessions with the possibility of conducting interviews as wellBasic Qualifications Bachelor's degree, or equivalent experience Three to five years of related work experience, such as UX or digital industryPreferred Skills/ExperienceThorough knowledge of and experience with UX best practices, service design process and framework, and experience in workshop and co-creationsThorough knowledge of website architecture, interactive design principles, web usability, and online marketing and business needsExperience with user-centered design from concept to deliveryExperience/familiarity with CSS and responsive designSkilled with design /interaction / transition / motion design (portfolio required)Experience creating style guides for development teamsExperience working in a cross-channel environment, including desktop/laptop, mobile, devices and brick-and-mortar locationsExperience collaborating with large teamsStrong communication and presentation skillsThorough knowledge of UX best practicesAbility to problem-solve and work independentlyIf there’s anything we can do to accommodate a disability during any portion of the application or hiring process, please refer to our disability accommodations for applicants.BenefitsTake care of yourself and your family with U.S. Bank employee benefits. We know that healthy employees are happy employees, and we believe that work/life balance should be easy to achieve. That's why we share the cost of benefits and offer a variety of programs, resources and support you need to bring your full self to work and stay present and committed to the people who matter most - your family.Learn all about U.S. Bank employee benefits, including tuition reimbursement, retirement plans and more, by visiting usbank.com/careers.EEO is the LawApplicants can learn more about the company’s status as an equal opportunity employer by viewing the federal EEO is the Law poster.E-VerifyU.S. Bank participates in the U.S. Department of Homeland Security E-Verify program in all facilities located in the United States and certain U.S. territories. The E-Verify program is an Internet-based employment eligibility verification system operated by the U.S. Citizenship and Immigration Services. Learn more about the E-Verify program.Due to legal requirements, U.S. Bank requires that the successful candidate hired for some positions be fully-vaccinated for COVID-19, absent being granted an accommodation due to a medical condition, pregnancy, or sincerely held religious belief or other legally required exemption. For these positions, as part of the conditional offer of employment, the successful candidate will be asked to provide proof of vaccination or approval for an accommodation or exemption upon hire. Show more Show less Seniority level Associate Employment type Full-time Job function Design, Art/Creative, and Information Technology Industries Credit Intermediation"
9,Truist,Lightstream Graphic and UI Designer,"San Diego, California, United States","The position is described below. If you want to apply, click the Apply button at the top or bottom of this page. You'll be required to create an account or sign in to an existing one.Need Help?If you have a disability and need assistance with the application, you can request a reasonable accommodation. Send an email to Accessibility or call 877-891-2510 (accommodation requests only; other inquiries won't receive a response).Regular Or TemporaryRegularLanguage Fluency: English (Required)Work Shift1st shift (United States of America)Please Review The Following Job DescriptionThe Graphic and UI Designer will oversee implementation of the design management system for Lightstream.com and also work to fill the other needs of the marketing department including partner marketing, email, trade show booths, direct mail and others.Following is a summary of the essential functions for this job. Other duties may be performed, both major and minor, which are not mentioned below. Specific activities may change from time to time.Concept, refine and produce digital creative assets to support the development of LightStream.com.Concept, refine and produce other creative assets such as collateral, printed material, signage, etc. to support marketing initiatives for partners, direct mail, etc.Oversee the development of the DSM for LightStream.com and coach others in the use of tools like InVision and Sketch.Apply best-in-class practices, quality and creativity/innovation to the LightStream marketing program, in order to achieve successful results and continuous improvement.Contribute to maintaining the consistency of the LightStream brand across multiple channels.Coordinate with LightStream agency resources on work. Build relationships with teammates in various Truist business units to ensure open communication and consistent execution of the LightStream brand.Required QualificationsThe requirements listed below are representative of the knowledge, skill and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.Proficiency in key design software including InVision and Sketch. Experience designing for responsive websites. Experience with UX design and UI best practices.Digital knowledge and experience is key, and print/other design experience is also important – broad base.Experience with print production.Strong design and communications skills. Strong creativity and design abilities/competencies. Solid analytical, problem solving, integrative thinking and creative thinking skills. Solid organizational and project management skills.Preferred QualificationsBachelor’s Degree in relevant field.Continuous education to keep up with emerging software, technology, design trends, etc.; Multimedia and video experience.Minimum 6 years of experience in similar roles – graphic and web design, production art.Consumer lending and/or financial services experience, interactive agency experience.Truist supports a diverse workforce and is an Equal Opportunity Employer who does not discriminate against individuals on the basis of race, gender, color, religion, national origin, age, sexual orientation, gender identity, disability, veteran status or other classification protected by law. Drug Free Workplace.EEO is the Law Pay Transparency Nondiscrimination Provision E-Verify Show more Show less Seniority level Entry level Employment type Full-time Job function Information Technology Industries Financial Services"
