,company,job_title,location,description
0,Slack,Product Manager - Slack,United States,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts. Job Category Products and Technology Job Details Slack is where work happens. It's a collaboration hub where the right people and the right information come together, helping everyone get work done.Our Developer Platform supports this mission by providing an engagement layer connecting people and information across different software. A typical enterprise has over one thousand pieces of software, creating silos of data and events! Our goal is to empower everyone to automate admin tasks and exchange data between silos to reduce context switching, increase productivity, and improve their working life.In this role you'll work with our developer ecosystem to create delightful interactive experiences connecting third-party systems within Slack to reduce context switching and spread knowledge sharing.Slack has a positive, diverse, and supportive culture—we look for people who are curious, creative, and work to be a little better every single day. In our work together we aim to be smart, humble, hardworking and, above all, collaborative. If this sounds like a good fit for you, why not say hello?What You Will Be Doing Owning a product strategy and feature roadmap to deliver on the needs of people who build Slack apps across a range of technical levels and capabilities. Building an understanding of Slack app developers, both inside and outside large organizations. Creating new APIs to allow easier creation of new Slack app capabilities. Launching new services to support Slack developers and reduce friction for Slack development. You will build fundamentals that enable and grow the ecosystem of apps that connect Slack to productivity applications, together with our partner-facing teams. In tandem with engineering leadership, develop appropriate planning, prioritization, and release management processes to enable launch of new functionality for developers and Slack customers. Drive execution against plan, anticipating risk, and leading discussion via frequent, clear communication, both internally and with partners. Prioritize and design features for a variety of personas, from non-technical Slack users to Slack power-users to developers Understanding Slack user, administrator, developer, and partner dynamics to build healthy ecosystems What you should have 3+ years of experience as a product manager working on technical products, especially APIs and developer platforms. A passion for Slack and the problems we are solving Desire to understand Slack developers and users of varying skill levels and technical capabilities - their capabilities, needs, and how they work Ability to manage complex internal and external stakeholders and find creative solutions Track record of working with engineering and partner teams: people want to work with you again Accommodations If you require assistance due to a disability applying for open positions please submit a request via this Accommodations Request Form . Posting Statement At Salesforce we believe that the business of business is to improve the state of our world. Each of us has a responsibility to drive Equality in our communities and workplaces. We are committed to creating a workforce that reflects society through inclusive programs and initiatives such as equal pay, employee resource groups, inclusive benefits, and more. Learn more about Equality at Salesforce and explore our benefits.Salesforce.com and Salesforce.org are Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Salesforce.com and Salesforce.org do not accept unsolicited headhunter and agency resumes. Salesforce.com and Salesforce.org will not pay any third-party agency or company that does not have a signed agreement with Salesforce.com or Salesforce.org .Salesforce welcomes all.Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records. Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Product Management and Marketing Industries Software Development"
1,Nike,"Product Manager - Customization (Open to remote work, except the following locations: SD, VT, and WV)","Beaverton, Oregon, United States","Do you love helping teams be more efficient and get their jobs done easier and better? Are you a champion of the latest technologies like 3D modeling and rendering? If so, our Product Manager, Customization role could be the perfect fit!In this role, you will help modernize the tools and workflows that power our footwear customization business. To do that, you'll translate the business needs of our operators into productized workflows and features that will power our business for years to come. We are looking for someone who is passionate about delivering solutions for Nike’s world-wide Operations teams and has a track record of conceiving, building, and improving digital experiences that change the way users interact with their tools every day.You will be enabling Nike to push the boundaries of 3D experiences for our consumers and internal teams! You'll prioritize building trust with our Operations, Engineering and Program partners to identify the real problem that needs to be solved, develop a strategy for migrating users to a new platform and deliver on that strategy. Our best Product Managers are detail oriented, data driven, consumer focused and outstanding communicators who work well across a diverse set of partner teams to deliver best in class solutions.As the Product Manager in our Core Commerce Decide team, you will be working with the customization squads as the owner of our Customization Lab and Customization Experience teams. You will drive the complete our 3D platform migration including the go-to-market and cutover strategies through cross-functional collaboration and leading our Scrum/Agile ceremonies with engineering teams and communicating plans and progress. You will also collaborate with the Director of Product, Decide to obsess what the future of these tools could be to help our Product Creation partners and craft a roadmap for them. To be successful, you’ll collaborate with and influence partners, deeply empathize with our users, and measure performance of key product-health metrics.Key ResponsibilitiesManagement of Feature Development for Customization Tools and ExperiencesPro-active Definition of Feature Specifications: Partner with other Product Managers and Experience Design to develop wireframes while defining user requirements in collaboration with multiple engineering teamsChampion consumer-centricity: Live your customer’s reality - both your Operations consumers AND the millions of global Nike shoppers who use our experiences to customize and buy footwearEnsure a smooth cutover of all partners to our new tooling and experiences and lead the way for new user groups and the capabilities they need to adopt themExhibit a Bias for Delivery: Participate in Agile ceremonies and keep the cross functional team passionate about near term opportunities in a constantly evolving environmentCommunication & Collaboration: Clearly articulate the product objectives and how they are measured, our roadmap priorities, and requirements to multiple teams in both written and oral formats. Gather and incorporate feedback from a diverse group of partners including app and web teams, capability teams, consumers, business teams, operational teams, and legalSet a higher standard: Promote cross-team and cross-organizational sharing of knowledge QualificationsBachelor's degree or higher or equivalent combination of education and experience and training3+ years of relevant work experience, working as a Product Manager on Agile development teams passionate about global digital products, preferably within the domain of digital commerceStrong analytical background and/or relevant data driven job experienceOutstanding problem solving, with emphasis on data driven decision makingHigh attention to detail including documenting requirementsOutstanding communication and decision-making skillsOpen to remote work, except cannot work in South Dakota, Vermont, and West Virginia. These candidates will be required to relocate.For employees based in Colorado, this position starts at $117,000 per year. Information about benefits can be found here. Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Product Management and Marketing Industries Footwear Manufacturing"
2,Slack,Product Manager - Slack,"San Francisco, California, United States","To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts. Job Category Products and Technology Job Details Slack is where work happens. It's a collaboration hub where the right people and the right information come together, helping everyone get work done.Our Developer Platform supports this mission by providing an engagement layer connecting people and information across different software. A typical enterprise has over one thousand pieces of software, creating silos of data and events! Our goal is to empower everyone to automate admin tasks and exchange data between silos to reduce context switching, increase productivity, and improve their working life.In this role you'll work with our developer ecosystem to create delightful interactive experiences connecting third-party systems within Slack to reduce context switching and spread knowledge sharing.Slack has a positive, diverse, and supportive culture—we look for people who are curious, creative, and work to be a little better every single day. In our work together we aim to be smart, humble, hardworking and, above all, collaborative. If this sounds like a good fit for you, why not say hello?What You Will Be Doing Owning a product strategy and feature roadmap to deliver on the needs of people who build Slack apps across a range of technical levels and capabilities. Building an understanding of Slack app developers, both inside and outside large organizations. Creating new APIs to allow easier creation of new Slack app capabilities. Launching new services to support Slack developers and reduce friction for Slack development. You will build fundamentals that enable and grow the ecosystem of apps that connect Slack to productivity applications, together with our partner-facing teams. In tandem with engineering leadership, develop appropriate planning, prioritization, and release management processes to enable launch of new functionality for developers and Slack customers. Drive execution against plan, anticipating risk, and leading discussion via frequent, clear communication, both internally and with partners. Prioritize and design features for a variety of personas, from non-technical Slack users to Slack power-users to developers Understanding Slack user, administrator, developer, and partner dynamics to build healthy ecosystems What you should have 3+ years of experience as a product manager working on technical products, especially APIs and developer platforms. A passion for Slack and the problems we are solving Desire to understand Slack developers and users of varying skill levels and technical capabilities - their capabilities, needs, and how they work Ability to manage complex internal and external stakeholders and find creative solutions Track record of working with engineering and partner teams: people want to work with you again Accommodations If you require assistance due to a disability applying for open positions please submit a request via this Accommodations Request Form . Posting Statement At Salesforce we believe that the business of business is to improve the state of our world. Each of us has a responsibility to drive Equality in our communities and workplaces. We are committed to creating a workforce that reflects society through inclusive programs and initiatives such as equal pay, employee resource groups, inclusive benefits, and more. Learn more about Equality at Salesforce and explore our benefits.Salesforce.com and Salesforce.org are Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Salesforce.com and Salesforce.org do not accept unsolicited headhunter and agency resumes. Salesforce.com and Salesforce.org will not pay any third-party agency or company that does not have a signed agreement with Salesforce.com or Salesforce.org .Salesforce welcomes all.Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records. Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Product Management and Marketing Industries Software Development"
3,Slack,Product Manager - Slack,"Denver, Colorado, United States","To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts. Job Category Products and Technology Job Details Slack is where work happens. It's a collaboration hub where the right people and the right information come together, helping everyone get work done.Our Developer Platform supports this mission by providing an engagement layer connecting people and information across different software. A typical enterprise has over one thousand pieces of software, creating silos of data and events! Our goal is to empower everyone to automate admin tasks and exchange data between silos to reduce context switching, increase productivity, and improve their working life.In this role you'll work with our developer ecosystem to create delightful interactive experiences connecting third-party systems within Slack to reduce context switching and spread knowledge sharing.Slack has a positive, diverse, and supportive culture—we look for people who are curious, creative, and work to be a little better every single day. In our work together we aim to be smart, humble, hardworking and, above all, collaborative. If this sounds like a good fit for you, why not say hello?What You Will Be Doing Owning a product strategy and feature roadmap to deliver on the needs of people who build Slack apps across a range of technical levels and capabilities. Building an understanding of Slack app developers, both inside and outside large organizations. Creating new APIs to allow easier creation of new Slack app capabilities. Launching new services to support Slack developers and reduce friction for Slack development. You will build fundamentals that enable and grow the ecosystem of apps that connect Slack to productivity applications, together with our partner-facing teams. In tandem with engineering leadership, develop appropriate planning, prioritization, and release management processes to enable launch of new functionality for developers and Slack customers. Drive execution against plan, anticipating risk, and leading discussion via frequent, clear communication, both internally and with partners. Prioritize and design features for a variety of personas, from non-technical Slack users to Slack power-users to developers Understanding Slack user, administrator, developer, and partner dynamics to build healthy ecosystems What you should have 3+ years of experience as a product manager working on technical products, especially APIs and developer platforms. A passion for Slack and the problems we are solving Desire to understand Slack developers and users of varying skill levels and technical capabilities - their capabilities, needs, and how they work Ability to manage complex internal and external stakeholders and find creative solutions Track record of working with engineering and partner teams: people want to work with you again Accommodations If you require assistance due to a disability applying for open positions please submit a request via this Accommodations Request Form . Posting Statement At Salesforce we believe that the business of business is to improve the state of our world. Each of us has a responsibility to drive Equality in our communities and workplaces. We are committed to creating a workforce that reflects society through inclusive programs and initiatives such as equal pay, employee resource groups, inclusive benefits, and more. Learn more about Equality at Salesforce and explore our benefits.Salesforce.com and Salesforce.org are Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Salesforce.com and Salesforce.org do not accept unsolicited headhunter and agency resumes. Salesforce.com and Salesforce.org will not pay any third-party agency or company that does not have a signed agreement with Salesforce.com or Salesforce.org .Salesforce welcomes all.Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records. Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Product Management and Marketing Industries Software Development"
4,Slack,Product Manager - Slack,Elmira-Corning Area,"To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts. Job Category Products and Technology Job Details Slack is where work happens. It's a collaboration hub where the right people and the right information come together, helping everyone get work done.Our Developer Platform supports this mission by providing an engagement layer connecting people and information across different software. A typical enterprise has over one thousand pieces of software, creating silos of data and events! Our goal is to empower everyone to automate admin tasks and exchange data between silos to reduce context switching, increase productivity, and improve their working life.In this role you'll work with our developer ecosystem to create delightful interactive experiences connecting third-party systems within Slack to reduce context switching and spread knowledge sharing.Slack has a positive, diverse, and supportive culture—we look for people who are curious, creative, and work to be a little better every single day. In our work together we aim to be smart, humble, hardworking and, above all, collaborative. If this sounds like a good fit for you, why not say hello?What You Will Be Doing Owning a product strategy and feature roadmap to deliver on the needs of people who build Slack apps across a range of technical levels and capabilities. Building an understanding of Slack app developers, both inside and outside large organizations. Creating new APIs to allow easier creation of new Slack app capabilities. Launching new services to support Slack developers and reduce friction for Slack development. You will build fundamentals that enable and grow the ecosystem of apps that connect Slack to productivity applications, together with our partner-facing teams. In tandem with engineering leadership, develop appropriate planning, prioritization, and release management processes to enable launch of new functionality for developers and Slack customers. Drive execution against plan, anticipating risk, and leading discussion via frequent, clear communication, both internally and with partners. Prioritize and design features for a variety of personas, from non-technical Slack users to Slack power-users to developers Understanding Slack user, administrator, developer, and partner dynamics to build healthy ecosystems What you should have 3+ years of experience as a product manager working on technical products, especially APIs and developer platforms. A passion for Slack and the problems we are solving Desire to understand Slack developers and users of varying skill levels and technical capabilities - their capabilities, needs, and how they work Ability to manage complex internal and external stakeholders and find creative solutions Track record of working with engineering and partner teams: people want to work with you again Accommodations If you require assistance due to a disability applying for open positions please submit a request via this Accommodations Request Form . Posting Statement At Salesforce we believe that the business of business is to improve the state of our world. Each of us has a responsibility to drive Equality in our communities and workplaces. We are committed to creating a workforce that reflects society through inclusive programs and initiatives such as equal pay, employee resource groups, inclusive benefits, and more. Learn more about Equality at Salesforce and explore our benefits.Salesforce.com and Salesforce.org are Equal Employment Opportunity and Affirmative Action Employers. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Salesforce.com and Salesforce.org do not accept unsolicited headhunter and agency resumes. Salesforce.com and Salesforce.org will not pay any third-party agency or company that does not have a signed agreement with Salesforce.com or Salesforce.org .Salesforce welcomes all.Pursuant to the San Francisco Fair Chance Ordinance and the Los Angeles Fair Chance Initiative for Hiring, Salesforce will consider for employment qualified applicants with arrest and conviction records. Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Product Management and Marketing Industries Software Development"
5,Tinder,"Associate Product Manager, Data","Palo Alto, California, United States","Tinder brings people together. With tens of millions of users and a presence in every country on earth, our reach is expansive—and rapidly growing. Your work here can change the world.On the Quantitative Tools team at Tinder, our mission is to build trustworthy, fast, and powerful tools that anybody can easily use to turn data into practical information. Our scope includes platforms that enable anyone to build and consume insights into the impacts of product and market changes and the causes for metric movements and anomalies. Engineers, designers, product managers, analysts, and executives use our tools regularly.As an Associate Product Manager, your duties will include owning the development of data products, supporting our users, and improving how we conduct data-informed decision-making. Success in this role involves partnering with diverse cross-departmental collaborators, assessing opportunities, specifying requirements, and ensuring the delivery of projects to a schedule. Meaningful experience could include a technical background, research, analysis of large data sets, design thinking, and leading projects and teams.This position reports to the Senior Product Manager of Experimentation.You will: Determine and specify product requirements, functionality, and usage by partnering with cross-functional team members (product, engineering, market, and analytics).Capture and analyze product data, including analytics, statistics, and industry trends.Develop an efficient and reliable customer feedback and communication channels.Build marketing feature launches while onboarding new hires.You have:Familiarity with quantitative research, behavioral analysis and marketing techniques; SQL a plus, not mandatory.An understanding of consumer technology and online applications.Strong time management, collaboration, and communication skills.Proven experience navigating ambiguity and finding creative solutions.Passion for Tinder and our mission to keep the magic of human connection alive.Bachelor's degree or equivalent experience in computer science, engineering, applied math, cognitive, behavioral, data science, or an equivalent is preferred.As part of our team, you’ll enjoy: Working on a product that has an immediate impact on people’s lives all around the world Collaborating with a team of creative, fun and driven colleagues Comprehensive health coverage, competitive salary, 401(k) employer match, Employee Stock Purchase Plan (ESPP) Other perks and wellness benefits like a fitness membership subsidy, paid concierge medical membership, pet insurance offerings, and a commuter subsidy A robust Learning + Development offering including our MentorMatch program, access to a library of 6,000+ online learning courses through Udemy, and an annual L+D stipend Access to mental health resources Fertility preservation benefits No Meeting Wednesdays and access to a wide range of product and service discounts through Perkspot Charitable donations match up to $15,000 annually Monthly and weekly interactive virtual events including Book Club, trivia with prizes and yoga workouts The opportunity to join six active Employee Resource Groups (ERGs)At Tinder, we don’t just accept difference — we celebrate it, we support it, and we thrive on it for the benefit of our employees, our product, and our community. We strive to make our workplace an inclusive and diverse environment, giving people from all walks of life the opportunity to have a voice. We champion and encourage those who bring different perspectives, ideas, and creativity to join our team dedicated to bringing people together across the globe. Tinder is proud to be an equal opportunity workplace where we welcome all people regardless of sex, gender identity, race, ethnicity, disability, or other lived experience. Show more Show less Seniority level Associate Employment type Full-time Job function Product Management and Marketing Industries Social Networking Platforms"
6,United,Product Manager - Information Technology,"Houston, Texas, United States","United's Digital Technology team designs, develops and maintains massively scaling technology solutions brought to life with innovative architectures, data analytics and digital solutions.Our Values: At United Airlines, we believe that inclusion propels innovation and is the foundation of all that we do. Our Shared Purpose: ""Connecting people. Uniting the world."" drives us to be the best airline for our employees, customers and everyone we serve and we can only do that with a truly diverse and inclusive workforce. Our team spans the globe and is made up of diverse individuals all working together with cutting-edge technology to build the best airline in the history of aviation.With multiple employee-run ""Business Resource Group"" communities and world-class benefits like health insurance, parental leave and space available travel, United is truly a one-of-a-kind place to work that will make you feel welcome and accepted. Come join our team and help us make a positive impact on the world.Job overview and responsibilitiesWithin this Product Manager role at United Airlines, you will be responsible for multiple projects impacting the digital technology teams. You will be part of the Strategy and Planning team, maintaining the team roadmap, managing work intake and ensuring the team delivers on commitments effectively and efficiently.Analyze and define efficient, cost effective solutions to support company objectives, dept objectives, business processes and functional requirementsDefine and communicate the roadmap for services within your domainEnsure the roadmap supports company objectives and aligns with company prioritiesInteract with business partners, enterprise project teams and channel teams to understand their needs and prioritiesConduct and participate in the analysis of business processes and functional requirementsPrepare appropriate documentation to communicate and validate the informationReview and validate QA test plansSupport the QA team during test executionMaintain capacity management plans for the team, ensuring roadmaps align with team capacityMonitor progress of deliverables, keep dependent teams and projects informed on progressTake corrective action if deliverable cannot be met or if higher priorities disrupt prior commitmentsUnited Airlines is an equal opportunity employer. United Airlines recruits, employs, trains, compensates, and promotes regardless of race, religion, color, national origin, gender identity, sexual orientation, physical ability, age, veteran status, and other protected status as required by applicable law.QualificationsRequired Bachelor's Degree in Computer Science, Engineering, Business related field and/or equivalent work experienceExperience working with cross-functional, global teams to deliver commitments on-time and on-budget5+ years of software product managementSolid knowledge of product management best practices, functional design and application delivery methodologyKnowledge of methodologies, tools and techniques for specific products; ability to develop product line processes and strategiesStrong multi-tasker, proven experience handling multiple roles and projects simultaneouslyExcellent analysis, problem solving and decision-making skillsAttention to detailStrong planning & organizational skillsStrong communication skills - verbal, written and presentationProficiency with Microsoft Office, Visio and TFSMust be legally authorized to work in the United States for any employer without sponsorshipSuccessful completion of interview required to meet job qualificationReliable, punctual attendance is an essential function of the positionPreferredExperienced with both agile and waterfallExperience using JIRAKnowledge of project management methodology and some project managementAviation industry knowledgeEqual Opportunity Employer – Minorities/Women/Veterans/Disabled/LGBTHSC00000583 Show more Show less Seniority level Associate Employment type Full-time Job function General Business Industries Airlines and Aviation"
7,Netflix,"Product Manager, Localization","Los Gatos, California, United States","Creative Production and Promotion sits at the intersection of the consumer experience and the Netflix Studio. Our team is integral to making the Netflix experience feel personal and relevant by developing innovative approaches to how we promote, localize and release content. Because our products touch both members and content creators, we seek someone who can fluidly move among both worlds, applying strong product principles and strategic frameworks to the member experience, while deeply empathizing with the art and craft required to create great content. An ideal candidate is someone who is forward-thinking, future-oriented, and practically-minded.We localize our product to over 35 languages. As the Product Manager leading our localization efforts, your job will be to make Netflix and our content feel local for our members around the world. You will lead a cross-functional team of designers, engineers, data scientists, and linguists to push the boundaries for our localization experiences. A successful candidate will have the creativity to look at problems in new ways and the boldness to try new things, a hypothesis-driven mentality, a balance of creativity and analytic skills, and exceptional organizational influence.About This RoleThis position operates at a senior level, owning critical decisions and progress in this domain. Some of the questions this leader will work through: How do we make the Netflix experience culturally relevant in every language we support? How do we empower teams across Netflix to self-service their localization needs? How do we localize our titles and promotional content?At Netflix, our product team is small, so you will have the opportunity to make a big impact, and our unique culture drives our approach to innovation.ResponsibilitiesCollaborate on the vision and strategy for Localization at Netflix. Lead the formation of an experimentation strategy alongside Data Science and Algorithm teams.Work with teams around the globe to roll out products to our talent, the studio, and partners.Lead cross-functional teams including design, engineering, and data science to discover and execute opportunities.Communicate your vision and strategy broadly throughout the organization.What We’re Looking ForProven record of successfully launching global products or platforms.Experience with machine learning, algorithms, and experimentation.Exceptional analytical skills.Experience with localization and translation is a plusAbility to mobilize the entire organization towards a common goal.A rigorous approach to developing strategy and execution.Demonstrated understanding of good UX.Ability to prioritize well and articulate your plan across business functions and geographies.Ability to inspire, motivate, and lead designers and engineers. Show more Show less Seniority level Not Applicable Employment type Full-time Job function Product Management and Marketing Industries Movies and Sound Recording, Internet Publishing, and Entertainment Providers"
8,goop.com,Product Manager,"Santa Monica, California, United States","About The CompanyIn 2008, Gwyneth Paltrow launched goop, a lifestyle platform dedicated to keeping its readership informed and inspired with tightly curated content and products. goop's expert tastemakers advise and contribute on everything from fashion, wellness, and travel, to recipes, parenting, and cultural issues. Pioneering the contextual commerce platform, goop allows readers to shop with meaning. goop is one of the rare places on the web where food, shopping, and mindfulness collide—where the ever-evolving intent is to make every choice count. We're all resource-strapped, so goop hopes to surface the very best experiences, recipes, products, and advice.With a highly engaged and loyal customer base already in place, the goop platform is rapidly expanding to include branded events, retail stores, pop-ups, a Netflix series, and an ever-growing lineup of goop private label products in addition to multi-branded shopping. The company boasts diverse and rapidly growing revenue streams across ecommerce, ad sales, retail, and experiences. goop is headquartered in Santa Monica, CA.About YouYou are passionate about the goop brand and have a strong desire to build and improve our digital product. You may already be a confident leader who has experience guiding cross-functional teams in the successful creation of products that improve the consumer experience, utilizing innovative optimization techniques to drive business impact. You lead with a data-driven and problem-solving mindset. You thrive in a fast-paced, collaborative culture.About The RoleIn this role, you will collaborate cross-functionally with internal and external stakeholders to enhance the website user experience through experimentation, and optimizations as well as develop new features to improve acquisition, engagement, and conversion. You will manage all aspects of product development from problem identification to launch and will be critical in supporting our overall digital product strategy and its related testing and feature roadmap. This role will report directly to the Lead Product Manager.Engage regularly with business stakeholders to gather and define new requirements, identify inefficiencies, and set expectations for in-progress roadmap items. Establish a deep understanding of the user experience, identify and fill product gaps, and generate new ideas that inspire new and existing customers by leveraging data, user research, and competitive analysis. Turn our strategic vision into reality by partnering with the engineering team and cross-functional stakeholders to create an aligned product roadmap Communicate product status, key issues, and launch plans to key stakeholders throughout the organization Partner with product designers, developers, and internal stakeholders for discovery and user research Translate business needs, user needs, and technological capabilities into user stories and product requirements working closely with the engineering and QA teams. Manage a squad and run all the ceremonies of a proper Agile scrum development cycle including stand-ups, sprint planning, and retros. Continuously iterate on our product workflows to help us work more effectively Qualifications & ExperienceExcellent Communicator: Excellent written and verbal communication skills, interpersonal and collaborative skills, and the ability to communicate technical and business concepts to technical and non-technical audiences. Entrepreneurial Spirit: Self-starter who thrives in a fast-paced environment, deals well with ambiguity and focuses on delivering quantifiable business or customer value. Analytically Grounded: You define what success looks like with real data, taking into account user experience, KPIs, and how to measure progress holistically. You know every step of the user funnel. You can design, run, and interpret experiments and A/B tests Technical Problem-solver: You dive deep to understand technically complex systems to come up with creative solutions and carefully consider how changes will impact the business and customers. Growth Mindset: You acknowledge that everyone has room to grow, believe that delivering and receiving feedback is healthy, and enjoy the thrill of discovery and learning. Data Enthusiast: You use data to ground discovery efforts and prioritization decisions, discover insights, and communicate the value and impact of the work you do. Collaborative Decider: You build buy-in and involve the appropriate perspectives in the decision-making process but feel comfortable being decisive and making tough calls. Scrum Product Ownership: You can take a vision and roadmap and turn it into an impactful scrum board comprised of epics and stories that your cross-functional product teams will understand and build. You also love leading and participating in sprint reviews where results are demonstrated, not only functional but also business-impacting achievements FAQ Compensation: Competitive Market Salary DOE + Equity. Benefits: Generous health benefits package, fertility benefits and paid parental leave. Perks: ""goopcation"" paid company summer break, generous goop discounts, special offers with brand partners, access to custom lifestyle resources and events, and a beautiful workspace in Santa Monica Work Philosophy: At goop, we believe that creativity, innovation, and camaraderie are essential to our business, our culture, and our employee's growth and development. With our Hybrid Work Policy, we are committed to promoting collaboration, productivity, and employee well-being by maximizing the benefits of both in-person and remote work. With every aspect of this policy, goop is committed to employee health and safety and will continue to follow all federal, state, and local requirements. Type of Hire: This is a Full-Time Exempt Staff position. Other candidates, consultants, and placement agency candidates will not be considered. Job Disclosures: No applicant disclosures related to physical requirements or ADA-related considerations are relevant for this role Application Requirements: All applicants will be reviewed through Greenhouse submission. Direct submissions to the People Operations Team members will not be reviewed separately. Candidate Requirements: Applicant must have US work authorization. goop is an Equal Opportunity Employer. goop does not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law. All employment is decided on the basis of qualifications, merit, and business need. All information provided by the applicant is collected, stored and processed in accordance with the terms of our Privacy Policy Show more Show less Seniority level Entry level Employment type Full-time Job function Product Management and Marketing Industries Internet News"
9,Twitter,"Product Manager, Health Platform","San Francisco, California, United States","Company DescriptionTwitter is what’s happening and what people are talking about right now. For us, life&aposs not about a job, it&aposs about purpose. We believe real change starts with conversation. Here, your voice matters. Come as you are and together we&aposll do what&aposs right (not what&aposs easy) to serve the public conversation.Job DescriptionAre you passionate about defending online users from abuse, spam, and manipulation? Will you be proud to work on real-time, scalable systems to launch new product lines with integrity? If so, you should join us. Health is Twitter’s top priority, and we need your help!Here Are Some Examples Of What You’ll DoLead the effort to accelerate Health onboarding for new products. Own requirements, design, and implementation of onboarding products to ensure new customer launches have the reporting, detection, and remediation capabilities they needImprove our approach to ensuring Health protections across ever-increasing use cases. Inform product roadmaps, priorities, and designs for partner teams to enable easy integrationDrive team strategy and support execution against it, including identifying product opportunities and continuously iterating on market fit and team processes to maintain a strong cultureQualificationsYou have experience with distributed systems in a production setting, including the technical and analytical depth to partner with engineers. Ideally, you have past experience as an engineer or similar technical knowledge, and past work on platforms and API products.You thrive in navigating and making sense of ambiguity. You ground your decisions with rigorous data and reasoning and adapt to new information to make informed choices.You have experience leading and working with cross-functional teams. You focus on customers, develop concrete strategies, and drive execution against them.You enjoy working in a collaborative environment and interact effectively with others.You bring thoughtful perspectives, empathy, and creativity to solve problems at scale.You’re willing to be mentored and to mentor others. Show more Show less Seniority level Not Applicable Employment type Full-time Job function Product Management and Marketing Industries Internet Publishing"
