,company,job_title,location,description
0,Target,Software Engineer - US,"Brooklyn Park, Minnesota, United States","DescriptionAbout us:As a Fortune 50 company with more than 350,000 team members worldwide, Target is an iconic brand and one of America's leading retailers.Working at Target means the opportunity to help all families discover the joy of everyday life. Caring for our communities is woven into who we are, and we invest in the places we collectively live, work and play. We prioritize relationships, fuel and develop talent by creating growth opportunities, and succeed as one Target team. At our core, our purpose is ingrained in who we are, what we value, and how we work. It’s how we care, grow, and win together.Target as a tech company? Absolutely. We’re the behind-the-scenes powerhouse that fuels Target’s passion and commitment to cutting-edge innovation. We anchor every facet of one of the world’s best-loved retailers with a strong technology framework that relies on the latest tools and technologies—and the brightest people—to deliver incredible value to guests online and in stores. Target Technology Services is on a mission to offer the systems, tools and support that guests and team members need and deserve. Our high-performing teams balance independence with collaboration, and we pride ourselves on being versatile, agile and creative. We drive industry-leading technologies in support of every angle of the business, and help ensure that Target operates smoothly, securely and reliably from the inside out.Target’s Storage as a Service group is part of Technology Engineering within Target Tech. We deliver high performance storage solutions for the enterprise at a multi-petabyte scale and are constantly automating our provisioning methods while adding new products and services.As a Software Engineer, you serve as a technical specialist delivering the engineering that powers the product. You develop keen insight into the technical architecture and design to deliver robust and scalable software components. You constantly demonstrate the depth of your expertise by solving engineering problems. You are passionate about the quality of software and balance between speed of delivering new features and robustness of the software components you implement. You actively review code to ensure the software quality and functional accuracy is maintained across the team. You are eager to learn the design and architecture of the product and participate in ceremonies that can influence both. Use your skills, experience, and talents to be a part of groundbreaking thinking and visionary goals. Contribute to research and proof-of-concept initiatives for new technologies and assist with code review and design review, writes, organizes, and maintains code based on designs. With guidance, delivers high-performance, scalable, repeatable, and secure deliverables. Participate in structured construction, automation, debugging, and implementation activities, ensuring architectural and operational requirements and best practices are met. Participate in functional, integration and regression testing. Search and understand metadata about various data sources and metrics. Adhere to change and incident management standards and expectations.Core responsibilities are described within this job description. Job duties may change at any time due to business needs.Key Responsibilities Develop and maintain scalable and resilient RESTful APIs Write software tests using continuous integration practices to ensure code quality Build scalable micro-service APIs with seamless deployments and zero downtime Assist with design, planning and code review Research related technology and make necessary software recommendations Participate in on-call rotationMinimum Qualifications 4 year degree or equivalent experience 1+ years of software development experience Demonstrates familiarity with current and emerging technologies in own scope of responsibility, and develops ability to apply these technologies Demonstrates and continuously builds upon domain-specific knowledge Demonstrates proficiency in at least one computer language (e.g. Java, Python, Go-Lang) Maintains technical knowledge within areas of expertise Stays current with new and evolving technologies via formal training and self-directed education Like collaborating with a team and possesses strong written and verbal communication skillsDesired Qualifications Exposure to DevOps tools, processes and culture Hands on experience building scalable REST APIs Experience with test-driven development and software test automation Hands on cloud experience: Kubernetes, Azure, GCP (Google CloudPlatform) Experience deploying and supporting an application on cloud-based infrastructure Contributing back to the Open Source community Knowledge of microservice design patternsIf you’re a software engineer with a passion for software architecture, cutting-edge technologies, massive scale, building performant systems, and solving challenging problems, then this career opportunity is for you!Americans With Disabilities Act (ADA)Target will provide reasonable accommodations (such as a qualified sign language interpreter or other personal assistance) with the application process upon your request as required to comply with applicable laws. If you have a disability and require assistance in this application process, please visit your nearest Target store or Distribution Center or reach out to Guest Services at 1-800-440-0680 for additional information. Show more Show less Seniority level Entry level Employment type Full-time Job function Engineering and Information Technology Industries Retail"
1,BotNot,Back End Developer,United States,"Direct message the job poster from BotNot Alex Shamir Co-Founder at BotNot BotNot is looking for passionate, highly motivated engineers to help us accomplish our mission. This position will be responsible for writing real-time data processing and computation API with AWS and heavy use of Machine Learning algorithms for different e-commerce platforms. Key Qualifications:3-5 years of experience in Python FrameworksPythonExperience with AWS, specifically SAM & CDKPassion for infrastructure as a codeExperience with unit tests is a mustPassion for delivering business impactThe ability to finish assignments on time with clean code following best engineering practices Nice to Have Excellent problem solving and analytical skillsExcellent communication and collaboration skillsShopify, Salesforce, and e-commerce platforms are a plusPlus, if experience or are interested in AWS security and AWS Cost MinimizingWe will keep this short and sweet. We are all ex-FAANG founders that stumbled in like a band of misfits. Some of us were sneaker botters in a previous life, and some were investment bankers. We created BotNot as we have a passion for Data and solving complex human problems with Machine Learning. To succeed at BotNot, our primary ethos should align with you:1. Curiosity is Key - some of the greatest initiatives BotNot has implemented so far have stemmed from an individual's curiosity.2. Everything is Solvable - BotNot encourages creative thinking to find a solution, as we believe there is a solution to any problem.3. Respect goes with Responsibility- respect is a necessity for all members, and we actively encourage recognizing other members that have a positive impact.4. Everyone is an Owner - everyone has the Responsibility of leading their tasks and will be treated as the expert.5. Prioritize Yourself - we require everyone to have something personal to skip work, whether baking, watching Manchester United, or running.If this feels like a good fit, please reach out, and we will review your application ASAP. We're here to build, and we cannot wait to build with you! Show more Show less Employment type Full-time"
2,Innovia,Software Engineer Internship,"Tampa, Florida, United States","What you’ll doDevelop and execute unit test cases to ensure all requested functionality is provided and adhering to the design specification. Document testing results.Troubleshoot production incidents. Create and apply fixes to restart / recover production system.Learn new technologies and technical skills being introduced in software engineering.Maintain application documentation which adheres to standards and guidelines. Participate in knowledge transfer with operations and support staff.What you need to succeedAssociate's degree in Computer Science, Information Systems or related fieldKnowledge and working experience with Microsoft Office applicationKnowledge of relational databases and SQLAbility to work within a team environmentGood communication skills Show more Show less Employment type Full-time"
3,PNC,Software Developer - Python,"Texas, United States","Position OverviewAt PNC, our people are our greatest differentiator and competitive advantage in the markets we serve. We are all united in delivering the best experience for our customers. As a Software Developer within PNC's Technology Infrastructure organization, you will be based in Pittsburgh, PA.This position also offers the opportunity to work remotely from home.The Ideal Candidate Will Have The Following Qualifications Strong enterprise development background using Python is required. Ansible experience desired. Experience with Angular would be beneficial but not required.Job DescriptionDevelops, tests and implements software solutions.Designs software solutions to address business needs.Writes code, tests and deploys software.Prepares technical and procedural documentation required for software.Maintains and debugs software.PNC Employees take pride in our reputation and to continue building upon that we expect our employees to be:Customer Focused - Knowledgeable of the values and practices that align customer needs and satisfaction as primary considerations in all business decisions and able to leverage that information in creating customized customer solutions.Managing Risk - Assessing and effectively managing all of the risks associated with their business objectives and activities to ensure they adhere to and support PNC's Enterprise Risk Management Framework.CompetenciesApplication Design, Architecture – Knowledge of application design activities, tools and techniques; ability to utilize these to convert business requirements and logical models into a technical application design.Application Development Tools – Knowledge of and ability to utilize a variety of specific tools and toolkits for the development and support of applications.Application Maintenance – Knowledge of and ability to define, implement changes to, and support a production application.Application Testing – Knowledge of application testing and ability to design, plan and execute application testing strategies and tactics to ensure software quality throughout all stages of application development.Packaged Application Integration – Knowledge of and the ability to implement packaged application software and integrate it with company applications, databases and technology platforms.System Development Life Cycle – Knowledge of project management techniques and the ability to plan, design, develop, test, implement and maintain system development life cycle segments and phases.Technical Troubleshooting – Knowledge of technical troubleshooting approaches, tools and techniques, and the ability to anticipate, recognize, and resolve technical (hardware, software, application or operational) problems.Technical Writing/Documentation – Knowledge of the technical language and writing approach, and the ability to write paper-based and on-line technical reference documentation (guidelines, standards, procedures, processes, applications, etc.)Work ExperienceRoles at this level typically require a university / college degree with < 1 year of professional experience and/or successful completion of a formal development program. In lieu of a degree, a comparable combination of education and experience (including military service) may be considered.EducationBachelors (Required)BenefitsAdditional Job DescriptionPNC offers employees a comprehensive range of benefits to help meet your needs now and in the future. Depending on your eligibility, options for full-time employees include medical/prescription drug coverage (with a Health Savings Account feature); dental and vision options; employee and spouse/child life insurance; short- and long-term disability protection; maternity and parental leave; paid holidays, vacation days and occasional absence time; 401(k), pension and stock purchase plans; dependent care reimbursement account; back-up child/elder care; adoption assistance; educational assistance and a robust wellness program with financial incentives. To learn more about these and other programs, including benefits for part-time employees, visit pncbenefits.com > New to PNC.Disability Accommodations StatementThe PNC workplace is inclusive and supportive of individual needs. If you have a physical or other impairment that might require an accommodation, including technical assistance with the PNC Careers website or submission process, please call 877-968-7762 and select Option 4: Recruiting or contact us via email at pathfinder@pnc.com.The Human Resources Service Center hours of operation are Monday - Friday 9:00 AM to 5:00 PM ET.Equal Employment Opportunity (EEO)PNC provides equal employment opportunity to qualified persons regardless of race, color, sex, religion, national origin, age, sexual orientation, gender identity, disability, veteran status, or other categories protected by law.California Residents Refer to the California Consumer Privacy Act Privacy Notice to gain understanding of how PNC may use or disclose your personal information in our hiring practices. Show more Show less Seniority level Entry level Employment type Full-time Job function Engineering and Information Technology Industries Credit Intermediation"
4,PNC,Software Developer - Python,"Florida, United States","Position OverviewAt PNC, our people are our greatest differentiator and competitive advantage in the markets we serve. We are all united in delivering the best experience for our customers. As a Software Developer within PNC's Technology Infrastructure organization, you will be based in Pittsburgh, PA.This position also offers the opportunity to work remotely from home.The Ideal Candidate Will Have The Following Qualifications Strong enterprise development background using Python is required. Ansible experience desired. Experience with Angular would be beneficial but not required.Job DescriptionDevelops, tests and implements software solutions.Designs software solutions to address business needs.Writes code, tests and deploys software.Prepares technical and procedural documentation required for software.Maintains and debugs software.PNC Employees take pride in our reputation and to continue building upon that we expect our employees to be:Customer Focused - Knowledgeable of the values and practices that align customer needs and satisfaction as primary considerations in all business decisions and able to leverage that information in creating customized customer solutions.Managing Risk - Assessing and effectively managing all of the risks associated with their business objectives and activities to ensure they adhere to and support PNC's Enterprise Risk Management Framework.CompetenciesApplication Design, Architecture – Knowledge of application design activities, tools and techniques; ability to utilize these to convert business requirements and logical models into a technical application design.Application Development Tools – Knowledge of and ability to utilize a variety of specific tools and toolkits for the development and support of applications.Application Maintenance – Knowledge of and ability to define, implement changes to, and support a production application.Application Testing – Knowledge of application testing and ability to design, plan and execute application testing strategies and tactics to ensure software quality throughout all stages of application development.Packaged Application Integration – Knowledge of and the ability to implement packaged application software and integrate it with company applications, databases and technology platforms.System Development Life Cycle – Knowledge of project management techniques and the ability to plan, design, develop, test, implement and maintain system development life cycle segments and phases.Technical Troubleshooting – Knowledge of technical troubleshooting approaches, tools and techniques, and the ability to anticipate, recognize, and resolve technical (hardware, software, application or operational) problems.Technical Writing/Documentation – Knowledge of the technical language and writing approach, and the ability to write paper-based and on-line technical reference documentation (guidelines, standards, procedures, processes, applications, etc.)Work ExperienceRoles at this level typically require a university / college degree with < 1 year of professional experience and/or successful completion of a formal development program. In lieu of a degree, a comparable combination of education and experience (including military service) may be considered.EducationBachelors (Required)BenefitsAdditional Job DescriptionPNC offers employees a comprehensive range of benefits to help meet your needs now and in the future. Depending on your eligibility, options for full-time employees include medical/prescription drug coverage (with a Health Savings Account feature); dental and vision options; employee and spouse/child life insurance; short- and long-term disability protection; maternity and parental leave; paid holidays, vacation days and occasional absence time; 401(k), pension and stock purchase plans; dependent care reimbursement account; back-up child/elder care; adoption assistance; educational assistance and a robust wellness program with financial incentives. To learn more about these and other programs, including benefits for part-time employees, visit pncbenefits.com > New to PNC.Disability Accommodations StatementThe PNC workplace is inclusive and supportive of individual needs. If you have a physical or other impairment that might require an accommodation, including technical assistance with the PNC Careers website or submission process, please call 877-968-7762 and select Option 4: Recruiting or contact us via email at pathfinder@pnc.com.The Human Resources Service Center hours of operation are Monday - Friday 9:00 AM to 5:00 PM ET.Equal Employment Opportunity (EEO)PNC provides equal employment opportunity to qualified persons regardless of race, color, sex, religion, national origin, age, sexual orientation, gender identity, disability, veteran status, or other categories protected by law.California Residents Refer to the California Consumer Privacy Act Privacy Notice to gain understanding of how PNC may use or disclose your personal information in our hiring practices. Show more Show less Seniority level Entry level Employment type Full-time Job function Engineering and Information Technology Industries Credit Intermediation"
5,Audible,Software Development Engineer,"Culver City, California, United States","Job SummaryDESCRIPTIONGood storytelling starts with great listening. At Audible, that means each role and every project has our audience in mind. Because the same people who design, develop, and deploy our products also happen to use them. To us, that speaks volumes.About This RoleAs a Software Development Engineer, it’s up to you to define, design and refine the tech that keeps us one step ahead of listeners. Anticipate. Innovate. Bring challenging ideas and we’ll support you with the latest tech, tools and systems that you need to succeed. You’ll be essential in ensuring the team can reach their potential; working closely with them, reviewing their work, mentoring, and supporting them to develop. Together, you’ll build and maintain our platform to bring thousands of stories to millions of listeners and unleash the power of the human voice.About The TeamThis is an opportunity to join a brand new team, in a brand new Audible hub, in Culver City. The Culver City tech teams will work adjacent to Audible Studios, where our content teams work with a diverse range of talent to create Audible Original Content. Work-life balance is important to us: your ability to flourish in your personal life directly correlates to your success in your professional life.True to Audible’s People Principles, we are committed to the success of our people and supporting the communities in which we work. Our leadership team is dedicated to mentoring and coaching to help each individual identify their career goals, flourish, and achieve their potential. Our environment encourages everyone to participate. Our diverse team depends on differing backgrounds and perspectives to foster robust conversations that lead us to the right solutions for our customers.Our offices will be located in Culver City Studios location, situated between Downtown Los Angeles and Santa Monica. Come enjoy the weather that’s always ready for filming. Spend the morning in the mountains, the afternoon on the beach, and the night at a show. As one of the most culturally diverse cities in the world, there’s always a new experience waiting for you.About YouYou feel pride in every step forward, however big, or small; to you, each challenge represents a well-executed venture to support our listeners. If you’re looking to build on your skills and grow into a leader, this is your next step. We look for people who take responsibility, set their standards high and see every failure as an opportunity to learn. You’re looking for an environment where you can thrive. With opportunities to challenge yourself and a talented team by your side, you’ll find what you’re looking for at Audible.As a Software Development Engineer, you will...Design, develop, and test software components and applications for one of the largest creator and provider of audiobooks in the world.Work on an agile engineering team writing maintainable and scalable code for software components and influencing team decisions.Collaborate with stakeholders to imagine, design, develop, test, and launch software that impacts our customers and inspires your peers.Basic QualificationsProgramming experience with at least one modern language such as Java, C++, or C# including object-oriented design.Experience writing clear, maintainable and extensible code.Experience with Computer Science fundamentals including data structures, algorithms, and problem solving.Preferred QualificationsStrong verbal and written communication skills, enabling effective messaging with both technical and non-technical audiences.Strong problem solving skills and willingness to accept new challenges, take ownership and be adaptable.Willingness to make improvements to the team’s development and testing processes.Able to establish good working relationships with peers.Basic understanding of professional software development life cycle best practices, including coding standards, code reviews, source control management, continuous deployments, testing, operations and security.A high-quality bar: we write clear documentation, contribute peer code reviews and test our code.Able to work through ambiguous research problems with mentorship.Knowledge of AWS or similar cloud-based infrastructure and/or developer tools.About AudibleAt Audible, we innovate and inspire through the power of voice. We're changing the narrative on storytelling. As a leading creator and provider of premium audio storytelling, we've redefined the ways people access, discover, and share stories. The stories we tell have the ability to transport and transform everyday moments into meaningful experiences and it's our people who make Audible's service possible. We're listeners, storytellers, and problem-solvers. Our perspectives and experiences power our ideas and come together in our mission to unleash the power of the spoken word.Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.Audible is committed to a diverse and inclusive workplace. Audible is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.Company - Audible, Inc.Job ID: A1999808 Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Information Technology, Consulting, and Engineering Industries IT Services and IT Consulting, Software Development, and Internet Publishing"
6,PNC,Software Developer - Python,"Virginia, United States","Position OverviewAt PNC, our people are our greatest differentiator and competitive advantage in the markets we serve. We are all united in delivering the best experience for our customers. As a Software Developer within PNC's Technology Infrastructure organization, you will be based in Pittsburgh, PA.This position also offers the opportunity to work remotely from home.The Ideal Candidate Will Have The Following Qualifications Strong enterprise development background using Python is required. Ansible experience desired. Experience with Angular would be beneficial but not required.Job DescriptionDevelops, tests and implements software solutions.Designs software solutions to address business needs.Writes code, tests and deploys software.Prepares technical and procedural documentation required for software.Maintains and debugs software.PNC Employees take pride in our reputation and to continue building upon that we expect our employees to be:Customer Focused - Knowledgeable of the values and practices that align customer needs and satisfaction as primary considerations in all business decisions and able to leverage that information in creating customized customer solutions.Managing Risk - Assessing and effectively managing all of the risks associated with their business objectives and activities to ensure they adhere to and support PNC's Enterprise Risk Management Framework.CompetenciesApplication Design, Architecture – Knowledge of application design activities, tools and techniques; ability to utilize these to convert business requirements and logical models into a technical application design.Application Development Tools – Knowledge of and ability to utilize a variety of specific tools and toolkits for the development and support of applications.Application Maintenance – Knowledge of and ability to define, implement changes to, and support a production application.Application Testing – Knowledge of application testing and ability to design, plan and execute application testing strategies and tactics to ensure software quality throughout all stages of application development.Packaged Application Integration – Knowledge of and the ability to implement packaged application software and integrate it with company applications, databases and technology platforms.System Development Life Cycle – Knowledge of project management techniques and the ability to plan, design, develop, test, implement and maintain system development life cycle segments and phases.Technical Troubleshooting – Knowledge of technical troubleshooting approaches, tools and techniques, and the ability to anticipate, recognize, and resolve technical (hardware, software, application or operational) problems.Technical Writing/Documentation – Knowledge of the technical language and writing approach, and the ability to write paper-based and on-line technical reference documentation (guidelines, standards, procedures, processes, applications, etc.)Work ExperienceRoles at this level typically require a university / college degree with < 1 year of professional experience and/or successful completion of a formal development program. In lieu of a degree, a comparable combination of education and experience (including military service) may be considered.EducationBachelors (Required)BenefitsAdditional Job DescriptionPNC offers employees a comprehensive range of benefits to help meet your needs now and in the future. Depending on your eligibility, options for full-time employees include medical/prescription drug coverage (with a Health Savings Account feature); dental and vision options; employee and spouse/child life insurance; short- and long-term disability protection; maternity and parental leave; paid holidays, vacation days and occasional absence time; 401(k), pension and stock purchase plans; dependent care reimbursement account; back-up child/elder care; adoption assistance; educational assistance and a robust wellness program with financial incentives. To learn more about these and other programs, including benefits for part-time employees, visit pncbenefits.com > New to PNC.Disability Accommodations StatementThe PNC workplace is inclusive and supportive of individual needs. If you have a physical or other impairment that might require an accommodation, including technical assistance with the PNC Careers website or submission process, please call 877-968-7762 and select Option 4: Recruiting or contact us via email at pathfinder@pnc.com.The Human Resources Service Center hours of operation are Monday - Friday 9:00 AM to 5:00 PM ET.Equal Employment Opportunity (EEO)PNC provides equal employment opportunity to qualified persons regardless of race, color, sex, religion, national origin, age, sexual orientation, gender identity, disability, veteran status, or other categories protected by law.California Residents Refer to the California Consumer Privacy Act Privacy Notice to gain understanding of how PNC may use or disclose your personal information in our hiring practices. Show more Show less Seniority level Entry level Employment type Full-time Job function Engineering and Information Technology Industries Credit Intermediation"
7,Thumbtack,"Software Engineer, Intern (Remote - Summer 2022)",United States,"We’re the technology leader building the modern home management platform. Today, millions of people use Thumbtack to effortlessly manage their homes. We help them confidently know what to do, when to do it and who to hire. Our goal is simple: to be the only platform homeowners need to fix, maintain and improve their homes. As a long-term partner for homeowners, our promise is to turn what was once confusing and intimidating into something straightforward — and a lot less stressful.At Thumbtack, we're not just creating a new era of homeownership. We’re supporting local economies and building stronger communities. Each day, we connect local professionals across America with busy homeowners so they can grow their businesses. Thumbtack is for everyone. Our customers and pros come from all walks of life and every county in the country. We want our team to reflect that. If you come from an underrepresented background in tech, we strongly encourage you to apply. Our North Star is bright and our ambitions are big. We’ve been at this for over a decade, but the way we see it: we’re just getting started.Thumbtack by the NumbersAvailable in all 3,143 U.S. counties.Nearly 4.5 million customers in the last 12 monthsHundreds of thousands of local professionals on our platform65 million projects started on ThumbtackOver 7.5 million 5-star reviews left for stellar prosAbout the Engineering TeamAt Thumbtack, engineers at every level build products and systems that directly impact our customers and professionals. Our challenges span a wide variety of areas, ranging from building search and booking experiences to optimizing pricing systems, to building tools to help professionals grow their businesses. We believe in tackling these hard problems together as a team, with strong values around collaboration, ownership, and transparency. To read more about the hard problems that our team is taking on, visit our engineering blog.About the RoleDuring this 12 week summer internship at Thumbtack, you will be paired with a mentor on the engineering team to work through exciting technical problems in your area of interest. We deeply value autonomy, so you will be given freedom to work with your mentor to find a project (or several) that interest you, while providing value to the larger team. We promise to make your time at Thumbtack fun, memorable, and unique as we work together to solve marketplace challenges. ResponsibilitiesDriving your internship project(s) to completion, with a tenacious focus on the business impact of your project(s)Prioritizing tasks to deliver on goals with a sense of urgencyWork collaboratively with cross-functional teams to plan and execute on your project and solve tough technical problems. Meeting regularly with your mentor and proactively asking for help when needed--think of them as your cheerleaderMust-Have QualificationsIf you don't think you meet all of the criteria below but still are interested in the job, please apply. Nobody checks every box, and we're looking for someone excited to join the team.Pursuing a full-time BS/BA degree Graduating in Dec 2022 or Spring 2023Excellent coder-- code is both clean and conciseAn appetite for learning and passion to help othersNice-to-Have QualificationsRelevant internship experienceYou’re fluent in at least one major programming language and would be able to switch between multiple languages. In our stack, we mainly use Go, PHP, and Scala, with Swift and Kotlin for our mobile apps. More About UsThumbtack is a technology leader building the modern home management platform. Through the Thumbtack app, homeowners can effortlessly manage their homes — confidently knowing what to do, when to do it, and who to hire. Bringing the $500 billion home services industry online, Thumbtack empowers millions of homeowners to fix, maintain, and improve their most valuable asset. Founded in 2008, Thumbtack is backed by over $500 million in funding from folks that include Sequoia Capital, CapitalG, Tiger Global Management, Javelin Investment Partners, Baillie Gifford. See what it’s like to work here Meet the pros who inspire usLearn about engineers on a mission Follow us on LinkedIn Discover our virtual first planThumbtack is a virtual-first company, meaning you can live and work from any one of our approved locations across the United States, Canada or the Philippines*. When it is safe to gather, we will begin to host in-person events on a regular basis. Remote employees will be expected to travel occasionally for these events to a Thumbtack library or offsite team-building location. In cities with 5+ employees, we are establishing local communities, where employees can gather for local events. Additionally, employees in the San Francisco, Salt Lake City, Toronto and Manila areas will have opt-in access to communal workspace at one of our Thumbtack libraries. We always prioritize the health and safety of our employees. Currently, participation in these events and Thumbtack library use are optional. Both require employees to be fully vaccinated.#LI-RemoteThumbtack embraces diversity. We are proud to be an equal opportunity workplace and do not discriminate on the basis of sex, race, color, age, sexual orientation, gender identity, religion, national origin, citizenship, marital status, veteran status, or disability status. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.If you are a California resident, please review information regarding your rights under California privacy laws contained in Thumbtack’s Privacy policy available at https://www.thumbtack.com/privacy/. Show more Show less Seniority level Not Applicable Employment type Internship Job function Engineering and Information Technology Industries Internet Publishing"
8,Grubhub,Software Engineer I,"Boston, Massachusetts, United States","About The OpportunityWe’re all about connecting hungry diners with our network of over 300,000 restaurants nationwide. Innovative technology, user-friendly platforms and streamlined delivery capabilities set us apart and make us an industry leader in the world of online food ordering. When you join our team, you become part of a community that works together to innovate, solve problems, grow, work hard and have a ton of fun in the process! Why Work For Us We are looking for entry level engineering talent to join our organization in the summerof 2022 ! Grubhub is a place where authentically fun culture meets innovation and teamwork. We believe in empowering people and opening doors for new opportunities. If you’re looking for a place that values strong relationships, embraces diverse ideas–all while having fun together–Grubhub is the place for you! The Impact You Will Make Design, implement, and deliver awesome technical platforms and products for all constituencies (diners, corporate accounts, restaurants, internal tools) Understand our products from both a technical and business perspective in the context of our larger business Communicate with leadership, product owners, other technologists, and users to create working software based on an understanding of business and technical priorities Break down complex problems into elegant technical solutions to intelligently solve problems for diners, restaurant, corporate accounts and internal stakeholders Actively contribute to the adoption of strong software architecture, development best practices, and new technologies. We are always improving the process of building software; we need you to help contribute You will be a key part in accurately estimating the timing of software delivery What You Bring To The Table Bachelor’s or Master's Degree in Computer Science, Software Engineering or related field Strong track record of strong academic performance (3.0 or higher cumulative GPA) Solid foundation in software programming in one or more of the following languages: Java, Python, C, C++, Ruby, Scala, C#, Objective C Eagerness to contribute in a team-oriented environment Ability to work creatively and analytically in a problem-solving environment Familiar with Agile software development methodologies Interested in working for a fast paced tech and product oriented company And Of Course, Perks! Flexible PTO. Grubhub employees enjoy a generous amount of time to recharge. Health and Wellness. Excellent medical benefits, employee network groups and paid parental leave are just a few of our programs to support your overall well-being. Competitive Pay. You’ll receive a competitive base salary with eligibility for generous incentives, bonuses, commission or RSUs (role-specific). Learning and Career Growth. Your personal and professional development is a priority at Grubhub. We empower you to be a leader and grow your career through training, coaching and mentorship opportunities. MealPerks. Get meals on us! Our employees get a weekly Grubhub credit to enjoy and support local restaurants. Fun. Every Grubhub office has an employee-led Culture Crew that connects people through fun, meaningful events and initiatives like Wellness Wednesdays, Slack competitions and virtual happy hours! Social Impact. At Grubhub we believe in giving back through programs like the Grubhub Community Relief Fund and donating $1 million to the Equal Justice Initiative in 2020. Employees are also given paid time off each year to support the causes that are important to them. Vaccination Requirement: Grubhub employees are required to be fully vaccinated, and must be able to show proof of full-Covid-19 vaccination, and booster if eligible, prior to starting employment. Fully vaccinated is defined as: “2 weeks have passed since your second dose in a 2-dose series, such as the Pfizer or Moderna vaccines, or 2 weeks after a single-dose vaccine, such as Johnson & Johnson’s vaccine.” Those eligible to receive the booster must receive the booster to be considered fully vaccinated, and those not yet eligible will be required to obtain the booster once eligible (6 months post last dose).Grubhub is an equal opportunity employer. We welcome diversity and encourage a workplace that is just as diverse as the customers we serve. We evaluate qualified applicants without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other legally protected characteristics. If you’re applying for a job in the U.S. and need a reasonable accommodation for any part of the employment process, please send an email to campusrecruiting@grubhub.com and let us know the nature of your request and contact information. Please note that only those inquiries concerning a request for reasonable accommodation will be responded to from this email address. Show more Show less Seniority level Entry level Employment type Full-time Job function Engineering and Information Technology Industries Information Services"
9,PNC,Software Developer - Python,"Strongsville, Ohio, United States","Position OverviewAt PNC, our people are our greatest differentiator and competitive advantage in the markets we serve. We are all united in delivering the best experience for our customers. As a Software Developer within PNC's Technology Infrastructure organization, you will be based in Pittsburgh, PA.This position also offers the opportunity to work remotely from home.The Ideal Candidate Will Have The Following Qualifications Strong enterprise development background using Python is required. Ansible experience desired. Experience with Angular would be beneficial but not required.Job DescriptionDevelops, tests and implements software solutions.Designs software solutions to address business needs.Writes code, tests and deploys software.Prepares technical and procedural documentation required for software.Maintains and debugs software.PNC Employees take pride in our reputation and to continue building upon that we expect our employees to be:Customer Focused - Knowledgeable of the values and practices that align customer needs and satisfaction as primary considerations in all business decisions and able to leverage that information in creating customized customer solutions.Managing Risk - Assessing and effectively managing all of the risks associated with their business objectives and activities to ensure they adhere to and support PNC's Enterprise Risk Management Framework.CompetenciesApplication Design, Architecture – Knowledge of application design activities, tools and techniques; ability to utilize these to convert business requirements and logical models into a technical application design.Application Development Tools – Knowledge of and ability to utilize a variety of specific tools and toolkits for the development and support of applications.Application Maintenance – Knowledge of and ability to define, implement changes to, and support a production application.Application Testing – Knowledge of application testing and ability to design, plan and execute application testing strategies and tactics to ensure software quality throughout all stages of application development.Packaged Application Integration – Knowledge of and the ability to implement packaged application software and integrate it with company applications, databases and technology platforms.System Development Life Cycle – Knowledge of project management techniques and the ability to plan, design, develop, test, implement and maintain system development life cycle segments and phases.Technical Troubleshooting – Knowledge of technical troubleshooting approaches, tools and techniques, and the ability to anticipate, recognize, and resolve technical (hardware, software, application or operational) problems.Technical Writing/Documentation – Knowledge of the technical language and writing approach, and the ability to write paper-based and on-line technical reference documentation (guidelines, standards, procedures, processes, applications, etc.)Work ExperienceRoles at this level typically require a university / college degree with < 1 year of professional experience and/or successful completion of a formal development program. In lieu of a degree, a comparable combination of education and experience (including military service) may be considered.EducationBachelors (Required)BenefitsAdditional Job DescriptionPNC offers employees a comprehensive range of benefits to help meet your needs now and in the future. Depending on your eligibility, options for full-time employees include medical/prescription drug coverage (with a Health Savings Account feature); dental and vision options; employee and spouse/child life insurance; short- and long-term disability protection; maternity and parental leave; paid holidays, vacation days and occasional absence time; 401(k), pension and stock purchase plans; dependent care reimbursement account; back-up child/elder care; adoption assistance; educational assistance and a robust wellness program with financial incentives. To learn more about these and other programs, including benefits for part-time employees, visit pncbenefits.com > New to PNC.Disability Accommodations StatementThe PNC workplace is inclusive and supportive of individual needs. If you have a physical or other impairment that might require an accommodation, including technical assistance with the PNC Careers website or submission process, please call 877-968-7762 and select Option 4: Recruiting or contact us via email at pathfinder@pnc.com.The Human Resources Service Center hours of operation are Monday - Friday 9:00 AM to 5:00 PM ET.Equal Employment Opportunity (EEO)PNC provides equal employment opportunity to qualified persons regardless of race, color, sex, religion, national origin, age, sexual orientation, gender identity, disability, veteran status, or other categories protected by law.California Residents Refer to the California Consumer Privacy Act Privacy Notice to gain understanding of how PNC may use or disclose your personal information in our hiring practices. Show more Show less Seniority level Entry level Employment type Full-time Job function Engineering and Information Technology Industries Credit Intermediation"
